x,y
-0.07002877,0.33707777
0.85821044,0.924308
-1.4517671,0.337907
0.75903016,-0.19535892
-0.77025414,-0.95882684
0.019714415,0.7194683
-0.7629488,-0.30813926
0.37111408,-0.7941915
-0.32998696,-0.5652425
0.08995304,-0.18049492
-4.070029,-3.6629221
-3.1417894,-3.075692
-5.451767,-3.662093
-3.24097,-4.1953588
-4.770254,-4.958827
-3.9802856,-3.2805316
-4.762949,-4.3081393
-3.628886,-4.7941914
-4.329987,-4.565243
-3.910047,-4.180495
-4.070029,-1.6629223
-3.1417894,-1.0756919
-5.451767,-1.662093
-3.24097,-2.195359
-4.770254,-2.9588268
-3.9802856,-1.2805316
-4.762949,-2.3081393
-3.628886,-2.7941914
-4.329987,-2.5652425
-3.910047,-2.180495
-4.070029,0.33707777
-3.1417894,0.924308
-5.451767,0.337907
-3.24097,-0.19535892
-4.770254,-0.95882684
-3.9802856,0.7194683
-4.762949,-0.30813926
-3.628886,-0.7941915
-4.329987,-0.5652425
-3.910047,-0.18049492
-4.070029,2.3370779
-3.1417894,2.924308
-5.451767,2.337907
-3.24097,1.8046411
-4.770254,1.0411732
-3.9802856,2.7194684
-4.762949,1.6918607
-3.628886,1.2058085
-4.329987,1.4347575
-3.910047,1.8195051
-4.070029,4.3370776
-3.1417894,4.924308
-5.451767,4.337907
-3.24097,3.804641
-4.770254,3.0411732
-3.9802856,4.719468
-4.762949,3.6918607
-3.628886,3.2058086
-4.329987,3.4347575
-3.910047,3.819505
-2.0700288,-3.6629221
-1.1417896,-3.075692
-3.451767,-3.662093
-1.2409699,-4.1953588
-2.7702541,-4.958827
-1.9802856,-3.2805316
-2.7629488,-4.3081393
-1.628886,-4.7941914
-2.329987,-4.565243
-1.9100469,-4.180495
-2.0700288,-1.6629223
-1.1417896,-1.0756919
-3.451767,-1.662093
-1.2409699,-2.195359
-2.7702541,-2.9588268
-1.9802856,-1.2805316
-2.7629488,-2.3081393
-1.628886,-2.7941914
-2.329987,-2.5652425
-1.9100469,-2.180495
-2.0700288,0.33707777
-1.1417896,0.924308
-3.451767,0.337907
-1.2409699,-0.19535892
-2.7702541,-0.95882684
-1.9802856,0.7194683
-2.7629488,-0.30813926
-1.628886,-0.7941915
-2.329987,-0.5652425
-1.9100469,-0.18049492
-2.0700288,2.3370779
-1.1417896,2.924308
-3.451767,2.337907
-1.2409699,1.8046411
-2.7702541,1.0411732
-1.9802856,2.7194684
-2.7629488,1.6918607
-1.628886,1.2058085
-2.329987,1.4347575
-1.9100469,1.8195051
-2.0700288,4.3370776
-1.1417896,4.924308
-3.451767,4.337907
-1.2409699,3.804641
-2.7702541,3.0411732
-1.9802856,4.719468
-2.7629488,3.6918607
-1.628886,3.2058086
-2.329987,3.4347575
-1.9100469,3.819505
-0.07002877,-3.6629221
0.85821044,-3.075692
-1.4517671,-3.662093
0.75903016,-4.1953588
-0.77025414,-4.958827
0.019714415,-3.2805316
-0.7629488,-4.3081393
0.37111408,-4.7941914
-0.32998696,-4.565243
0.08995304,-4.180495
-0.07002877,-1.6629223
0.85821044,-1.0756919
-1.4517671,-1.662093
0.75903016,-2.195359
-0.77025414,-2.9588268
0.019714415,-1.2805316
-0.7629488,-2.3081393
0.37111408,-2.7941914
-0.32998696,-2.5652425
0.08995304,-2.180495
-0.07002877,2.3370779
0.85821044,2.924308
-1.4517671,2.337907
0.75903016,1.8046411
-0.77025414,1.0411732
0.019714415,2.7194684
-0.7629488,1.6918607
0.37111408,1.2058085
-0.32998696,1.4347575
0.08995304,1.8195051
-0.07002877,4.3370776
0.85821044,4.924308
-1.4517671,4.337907
0.75903016,3.804641
-0.77025414,3.0411732
0.019714415,4.719468
-0.7629488,3.6918607
0.37111408,3.2058086
-0.32998696,3.4347575
0.08995304,3.819505
1.9299712,-3.6629221
2.8582106,-3.075692
0.5482329,-3.662093
2.75903,-4.1953588
1.2297459,-4.958827
2.0197144,-3.2805316
1.2370512,-4.3081393
2.371114,-4.7941914
1.6700131,-4.565243
2.089953,-4.180495
1.9299712,-1.6629223
2.8582106,-1.0756919
0.5482329,-1.662093
2.75903,-2.195359
1.2297459,-2.9588268
2.0197144,-1.2805316
1.2370512,-2.3081393
2.371114,-2.7941914
1.6700131,-2.5652425
2.089953,-2.180495
1.9299712,0.33707777
2.8582106,0.924308
0.5482329,0.337907
2.75903,-0.19535892
1.2297459,-0.95882684
2.0197144,0.7194683
1.2370512,-0.30813926
2.371114,-0.7941915
1.6700131,-0.5652425
2.089953,-0.18049492
1.9299712,2.3370779
2.8582106,2.924308
0.5482329,2.337907
2.75903,1.8046411
1.2297459,1.0411732
2.0197144,2.7194684
1.2370512,1.6918607
2.371114,1.2058085
1.6700131,1.4347575
2.089953,1.8195051
1.9299712,4.3370776
2.8582106,4.924308
0.5482329,4.337907
2.75903,3.804641
1.2297459,3.0411732
2.0197144,4.719468
1.2370512,3.6918607
2.371114,3.2058086
1.6700131,3.4347575
2.089953,3.819505
3.9299712,-3.6629221
4.8582106,-3.075692
2.548233,-3.662093
4.7590303,-4.1953588
3.2297459,-4.958827
4.0197144,-3.2805316
3.2370512,-4.3081393
4.3711143,-4.7941914
3.670013,-4.565243
4.089953,-4.180495
3.9299712,-1.6629223
4.8582106,-1.0756919
2.548233,-1.662093
4.7590303,-2.195359
3.2297459,-2.9588268
4.0197144,-1.2805316
3.2370512,-2.3081393
4.3711143,-2.7941914
3.670013,-2.5652425
4.089953,-2.180495
3.9299712,0.33707777
4.8582106,0.924308
2.548233,0.337907
4.7590303,-0.19535892
3.2297459,-0.95882684
4.0197144,0.7194683
3.2370512,-0.30813926
4.3711143,-0.7941915
3.670013,-0.5652425
4.089953,-0.18049492
3.9299712,2.3370779
4.8582106,2.924308
2.548233,2.337907
4.7590303,1.8046411
3.2297459,1.0411732
4.0197144,2.7194684
3.2370512,1.6918607
4.3711143,1.2058085
3.670013,1.4347575
4.089953,1.8195051
3.9299712,4.3370776
4.8582106,4.924308
2.548233,4.337907
4.7590303,3.804641
3.2297459,3.0411732
4.0197144,4.719468
3.2370512,3.6918607
4.3711143,3.2058086
3.670013,3.4347575
4.089953,3.819505
